arquivo,algoritmo,pagina_KB,memoria_MB,page_faults,paginas_escritas
compilador.log,LRU,4,1,25308,4231
compilador.log,LRU,4,2,10425,2173
compilador.log,LRU,4,4,4391,955
compilador.log,LRU,8,1,36707,5775
compilador.log,LRU,8,2,21091,3839
compilador.log,LRU,8,4,7632,1756
compilador.log,NRU,4,1,41819,3379
compilador.log,NRU,4,2,38178,2282
compilador.log,NRU,4,4,22559,239
compilador.log,NRU,8,1,41975,4464
compilador.log,NRU,8,2,38805,3313
compilador.log,NRU,8,4,32604,1687
compilador.log,Relogio,4,1,26789,4528
compilador.log,Relogio,4,2,11472,2398
compilador.log,Relogio,4,4,4765,1086
compilador.log,Relogio,8,1,38827,6250
compilador.log,Relogio,8,2,22655,4162
compilador.log,Relogio,8,4,8412,1981
compilador.log,Otimo,4,1,12667,2483
compilador.log,Otimo,4,2,5662,1328
compilador.log,Otimo,4,4,3047,726
compilador.log,Otimo,8,1,21271,3711
compilador.log,Otimo,8,2,10118,2190
compilador.log,Otimo,8,4,4232,1078
compressor.log,LRU,4,1,397,48
compressor.log,LRU,4,2,317,0
compressor.log,LRU,4,4,317,0
compressor.log,LRU,8,1,533,132
compressor.log,LRU,8,2,255,0
compressor.log,LRU,8,4,255,0
compressor.log,NRU,4,1,595,0
compressor.log,NRU,4,2,317,0
compressor.log,NRU,4,4,317,0
compressor.log,NRU,8,1,916,18
compressor.log,NRU,8,2,255,0
compressor.log,NRU,8,4,255,0
compressor.log,Relogio,4,1,432,71
compressor.log,Relogio,4,2,317,0
compressor.log,Relogio,4,4,317,0
compressor.log,Relogio,8,1,577,163
compressor.log,Relogio,8,2,255,0
compressor.log,Relogio,8,4,255,0
compressor.log,Otimo,4,1,317,36
compressor.log,Otimo,4,2,317,0
compressor.log,Otimo,4,4,317,0
compressor.log,Otimo,8,1,345,86
compressor.log,Otimo,8,2,255,0
compressor.log,Otimo,8,4,255,0
matriz.log,LRU,4,1,5673,1866
matriz.log,LRU,4,2,3632,1159
matriz.log,LRU,4,4,2803,789
matriz.log,LRU,8,1,10928,3273
matriz.log,LRU,8,2,4745,1623
matriz.log,LRU,8,4,2950,985
matriz.log,NRU,4,1,16410,1901
matriz.log,NRU,4,2,13863,1283
matriz.log,NRU,4,4,9133,276
matriz.log,NRU,8,1,17373,2470
matriz.log,NRU,8,2,14764,1652
matriz.log,NRU,8,4,12175,1072
matriz.log,Relogio,4,1,5980,1973
matriz.log,Relogio,4,2,3795,1218
matriz.log,Relogio,4,4,2901,809
matriz.log,Relogio,8,1,12896,3844
matriz.log,Relogio,8,2,4870,1676
matriz.log,Relogio,8,4,3064,1011
matriz.log,Otimo,4,1,3572,1267
matriz.log,Otimo,4,2,2672,985
matriz.log,Otimo,4,4,2543,672
matriz.log,Otimo,8,1,5361,1827
matriz.log,Otimo,8,2,2969,1109
matriz.log,Otimo,8,4,2295,843
simulador.log,LRU,4,1,11240,4092
simulador.log,LRU,4,2,5823,2444
simulador.log,LRU,4,4,4468,1846
simulador.log,LRU,8,1,16479,5546
simulador.log,LRU,8,2,8556,3395
simulador.log,LRU,8,4,4732,2094
simulador.log,NRU,4,1,25906,5127
simulador.log,NRU,4,2,24154,4385
simulador.log,NRU,4,4,18277,2146
simulador.log,NRU,8,1,24885,6002
simulador.log,NRU,8,2,22747,4616
simulador.log,NRU,8,4,20944,3952
simulador.log,Relogio,4,1,11876,4319
simulador.log,Relogio,4,2,6119,2587
simulador.log,Relogio,4,4,4618,1937
simulador.log,Relogio,8,1,17923,6070
simulador.log,Relogio,8,2,9140,3666
simulador.log,Relogio,8,4,4875,2171
simulador.log,Otimo,4,1,5981,2575
simulador.log,Otimo,4,2,4125,1884
simulador.log,Otimo,4,4,3890,1565
simulador.log,Otimo,8,1,9179,3528
simulador.log,Otimo,8,2,4748,2160
simulador.log,Otimo,8,4,3498,1620
